sensor_name,sensor_type,velocity_px_s,obj_size_px,bg_density,bg_label,operating_point,theta,fps_used,event_rate_ev_s,power_mw,power_static_mw,power_dynamic_mw,saturated,resolution,sensor_price
OV7251 (OmniVision),CIS,10,25,0.05,d=0.05,locked,,800.0,,40.0,,,False,640x480,~$3-5
OV7251 (OmniVision),CIS,10,25,0.05,d=0.05,adaptive,,4.0,,3.2667,,,False,640x480,~$3-5
IMX327 (Sony),CIS,10,25,0.05,d=0.05,locked,,800.0,,300.0,,,False,1920x1080,~$15-25
IMX327 (Sony),CIS,10,25,0.05,d=0.05,adaptive,,4.0,,34.0,,,False,1920x1080,~$15-25
AR0234 (ON Semi),CIS,10,25,0.05,d=0.05,locked,,800.0,,250.0,,,False,1920x1200,~$20-40
AR0234 (ON Semi),CIS,10,25,0.05,d=0.05,adaptive,,4.0,,18.0,,,False,1920x1200,~$20-40
IMX462 (Sony),CIS,10,25,0.05,d=0.05,locked,,800.0,,310.0,,,False,1920x1080,~$20-30
IMX462 (Sony),CIS,10,25,0.05,d=0.05,adaptive,,4.0,,21.9333,,,False,1920x1080,~$20-30
Lichtsteiner 2008,DVS,10,25,0.05,d=0.05,theta=0.05,0.05,,11158.4,19.1436,19.14,0.003625,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,25,0.05,d=0.05,theta=0.10,0.1,,5579.2,19.1472,19.14,0.007249,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,25,0.05,d=0.05,theta=0.20,0.2,,2789.6,19.1545,19.14,0.014499,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,25,0.05,d=0.05,theta=0.40,0.4,,1394.8,19.169,19.14,0.028998,False,128x128,N/A (research)
DAVIS346,DVS,10,25,0.05,d=0.05,theta=0.05,0.05,,11158.4,10.0004,10.0,0.000359,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,25,0.05,d=0.05,theta=0.10,0.1,,5579.2,10.0007,10.0,0.000717,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,25,0.05,d=0.05,theta=0.20,0.2,,2789.6,10.0014,10.0,0.001436,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,25,0.05,d=0.05,theta=0.40,0.4,,1394.8,10.0029,10.0,0.00287,False,346x260,"~$3,000 (dev kit)"
Samsung DVS-Gen3.1,DVS,10,25,0.05,d=0.05,theta=0.05,0.05,,11158.4,10.0001,10.0,0.000147,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,25,0.05,d=0.05,theta=0.10,0.1,,5579.2,10.0003,10.0,0.000293,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,25,0.05,d=0.05,theta=0.20,0.2,,2789.6,10.0006,10.0,0.000586,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,25,0.05,d=0.05,theta=0.40,0.4,,1394.8,10.0012,10.0,0.001172,False,640x480,~$100-300 (module)
Prophesee IMX636,DVS,10,25,0.05,d=0.05,theta=0.05,0.05,,11158.4,32.0001,32.0,7.3e-05,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,25,0.05,d=0.05,theta=0.10,0.1,,5579.2,32.0001,32.0,0.000147,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,25,0.05,d=0.05,theta=0.20,0.2,,2789.6,32.0003,32.0,0.000293,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,25,0.05,d=0.05,theta=0.40,0.4,,1394.8,32.0006,32.0,0.000586,False,1280x720,"~$3,500 (EVK4 kit)"
OV7251 (OmniVision),CIS,10,25,0.1,d=0.10,locked,,800.0,,40.0,,,False,640x480,~$3-5
OV7251 (OmniVision),CIS,10,25,0.1,d=0.10,adaptive,,4.0,,3.2667,,,False,640x480,~$3-5
IMX327 (Sony),CIS,10,25,0.1,d=0.10,locked,,800.0,,300.0,,,False,1920x1080,~$15-25
IMX327 (Sony),CIS,10,25,0.1,d=0.10,adaptive,,4.0,,34.0,,,False,1920x1080,~$15-25
AR0234 (ON Semi),CIS,10,25,0.1,d=0.10,locked,,800.0,,250.0,,,False,1920x1200,~$20-40
AR0234 (ON Semi),CIS,10,25,0.1,d=0.10,adaptive,,4.0,,18.0,,,False,1920x1200,~$20-40
IMX462 (Sony),CIS,10,25,0.1,d=0.10,locked,,800.0,,310.0,,,False,1920x1080,~$20-30
